timestamp,demand_MW,renewable_MW,coal_capacity_MW,gas_capacity_MW,diesel_capacity_MW,temperature_C,load_shedding_stage
2015-01-01 00:00,28450,1240,24500,2100,800,22.3,0
2015-01-01 01:00,26830,1180,24500,2100,800,21.8,0
2015-01-01 02:00,25620,1120,24500,2100,800,21.2,0
2015-01-01 03:00,24890,1050,24500,2100,800,20.8,0
2015-01-01 04:00,24320,980,24500,2100,800,20.4,0
2015-01-01 05:00,24780,920,24500,2100,800,20.1,0
2015-01-01 06:00,26950,1450,24500,2100,800,20.5,0
2015-01-01 07:00,29340,2180,24500,2100,800,21.8,0
2015-01-01 08:00,31250,2840,24500,2100,800,23.6,0
2015-01-01 09:00,32180,3120,24500,2100,800,25.4,0
2015-01-01 10:00,32890,3280,24500,2100,800,27.1,0
2015-01-01 11:00,33120,3340,24500,2100,800,28.5,0
2015-01-01 12:00,33450,3290,24500,2100,800,29.8,0
2015-01-01 13:00,33280,3180,24500,2100,800,30.6,0
2015-01-01 14:00,32950,2980,24500,2100,800,31.2,0
2015-01-01 15:00,32680,2720,24500,2100,800,31.4,0
2015-01-01 16:00,32890,2380,24500,2100,800,31.1,0
2015-01-01 17:00,33420,1920,24500,2100,800,30.3,0
2015-01-01 18:00,34150,1340,24500,2100,800,28.9,0
2015-01-01 19:00,34820,780,24500,2100,800,27.2,0
2015-01-01 20:00,34230,420,24500,2100,800,25.8,0
2015-01-01 21:00,33180,180,24500,2100,800,24.6,0
2015-01-01 22:00,31890,80,24500,2100,800,23.7,0
2015-01-01 23:00,30120,40,24500,2100,800,22.9,0
2015-01-02 00:00,28680,1190,24500,2100,800,22.1,0
2015-01-02 01:00,27120,1130,24500,2100,800,21.5,0
2015-01-02 02:00,25890,1070,24500,2100,800,21.0,0
2015-01-02 03:00,25140,1010,24500,2100,800,20.6,0
2015-01-02 04:00,24560,950,24500,2100,800,20.2,0
2015-01-02 05:00,25020,890,24500,2100,800,20.0,0
2015-01-02 06:00,27280,1420,24500,2100,800,20.3,0
2015-01-02 07:00,29780,2150,24500,2100,800,21.6,0
